"volume","chapter","narrative_words","bracketed_narrative_words","note_words","note_headings","hc_signatures","hy_signatures","square_bracket_blocks"
"bookofsermarcop01polo_djvu.txt","1871 II.24 Paper money","1028","99","2410","0","0","0","1"
"bookofsermarcop01polo_djvu.txt","1871 II.26 Posts and runners","1314","400","713","0","0","0","2"
"bookofsermarcop01polo_djvu.txt","1871 II.30 Coal","178","58","405","0","0","0","1"
"bookofsermarcop01polo_djvu.txt","1871 II.32 Charity to poor","451","221","125","0","0","0","1"
"bookofsermarcop02polo_djvu.txt","1871 II.76 Kinsay","2820","565","2623","0","0","0","6"
"bookofsermarcop02polo_djvu.txt","1871 II.77 Further Kinsay","2697","2695","3159","0","0","0","2"
"bookofsermarcop02polo_djvu.txt","1871 II.78 Kinsay revenue","1777","65","0","0","0","0","2"
"booksermarcopol07pologoog_djvu.txt","1875 II.24 Paper money","1070","93","2649","0","0","0","1"
"booksermarcopol07pologoog_djvu.txt","1875 II.26 Posts and runners","1329","521","889","0","0","0","3"
"booksermarcopol07pologoog_djvu.txt","1875 II.30 Coal","169","58","625","0","0","0","1"
"booksermarcopol07pologoog_djvu.txt","1875 II.32 Charity to poor","447","222","156","0","0","0","1"
"booksermarcopol06pologoog_djvu.txt","1875 II.76 Kinsay","2819","575","3475","0","0","0","6"
"booksermarcopol06pologoog_djvu.txt","1875 II.77 Further Kinsay","2711","2709","4478","0","0","0","3"
"booksermarcopol06pologoog_djvu.txt","1875 II.78 Kinsay revenue","578","74","1225","0","0","0","2"
"pg10636.txt","II.24 Paper money","1011","92","3502","1","5","0","18"
"pg10636.txt","II.25 Twelve barons","338","0","1062","1","3","0","4"
"pg10636.txt","II.26 Posts and runners","1296","0","977","7","1","0","1"
"pg10636.txt","II.27 Dearth or murrain","267","109","195","1","0","0","1"
"pg10636.txt","II.28 Highway trees","151","54","116","1","0","0","1"
"pg10636.txt","II.29 Rice wine","83","0","362","1","1","0","3"
"pg10636.txt","II.30 Coal","171","59","680","1","1","0","2"
"pg10636.txt","II.31 Public granaries","189","0","307","1","1","0","3"
"pg10636.txt","II.32 Charity to poor","439","214","176","1","0","0","3"
"pg12410.txt","II.76 Kinsay","2798","609","3913","14","4","0","20"
"pg12410.txt","II.77 Further Kinsay","2643","2055","4726","12","4","0","20"
"pg12410.txt","II.78 Kinsay revenue","570","65","1236","2","1","0","7"
